episode,reward,reward_avg_50,pending_avg,delivered_total,ontime,late,epsilon,sec_elapsed,seed
1,-28453.081,-28453.081,62.149,220,128,92,0.995,17.39,8
2,-31637.08,-30045.08,77.03,225,120,105,0.99,43.98,9
3,-28560.859,-29550.34,79.664,200,120,80,0.9851,57.64,10
4,-27329.709,-28995.182,63.946,242,130,112,0.9801,78.74,11
5,-30964.977,-29389.141,78.08,206,109,97,0.9752,96.93,12
6,-28408.771,-29225.746,77.113,201,115,86,0.9704,112.44,13
7,-33491.207,-29835.098,85.648,218,124,94,0.9655,138.18,14
8,-28588.048,-29679.216,73.407,210,120,90,0.9607,155.96,15
9,-35309.963,-30304.855,83.433,205,109,96,0.9559,175.68,16
10,-29951.411,-30269.511,83.619,212,109,103,0.9511,193.24,17
11,-28866.034,-30141.922,72.758,214,120,94,0.9464,209.06,18
12,-30380.686,-30161.819,77.82,202,110,92,0.9416,227.51,19
13,-31570.61,-30270.187,84.988,206,118,88,0.9369,245.35,20
14,-29665.067,-30226.964,75.223,217,123,94,0.9322,265.25,21
15,-26292.161,-29964.644,67.479,224,134,90,0.9276,285.6,22
16,-29439.906,-29931.848,73.607,199,111,88,0.9229,302.89,23
17,-33761.234,-30157.106,68.391,231,126,105,0.9183,321.98,24
18,-32056.985,-30262.655,83.086,210,127,83,0.9137,347.81,25
19,-29742.256,-30235.266,66.121,201,115,86,0.9092,359.49,26
20,-33590.301,-30403.017,72.236,220,103,117,0.9046,379.11,27
21,-32952.258,-30524.41,72.181,199,112,87,0.9001,393.6,28
22,-32776.877,-30626.795,81.734,223,129,94,0.8956,424.26,29
23,-33007.968,-30730.324,87.829,210,127,83,0.8911,442.67,30
24,-28798.927,-30649.849,81.686,199,122,77,0.8867,461.39,31
25,-33896.957,-30779.733,83.574,225,136,89,0.8822,488.51,32
26,-29949.339,-30747.795,85.67,201,116,85,0.8778,506.64,33
27,-33348.677,-30844.124,91.99,195,117,78,0.8734,527.54,34
28,-28944.405,-30776.277,80.352,211,122,89,0.8691,546.47,35
29,-30679.314,-30772.933,90.848,198,117,81,0.8647,567.97,36
30,-28687.009,-30703.403,87.064,203,113,90,0.8604,590.75,37
31,-20578.89,-30376.805,60.729,214,137,77,0.8561,611.33,38
32,-28651.273,-30322.883,77.496,207,119,88,0.8518,632.42,39
33,-30991.822,-30343.153,67.031,230,132,98,0.8475,661.3,40
34,-30117.211,-30336.508,75.002,215,133,82,0.8433,683.04,41
35,-34989.059,-30469.438,86.907,199,104,95,0.8391,700.88,42
36,-29805.431,-30450.993,89.056,211,127,84,0.8349,719.7,43
37,-28831.692,-30407.229,78.528,206,124,82,0.8307,744.67,44
38,-35615.584,-30544.29,84.063,220,120,100,0.8266,776.61,45
39,-31354.951,-30565.077,87.662,210,122,88,0.8224,802.04,46
40,-29774.535,-30545.313,85.913,196,120,76,0.8183,824.58,47
41,-32262.745,-30587.202,84.159,210,123,87,0.8142,848.34,48
42,-32682.331,-30637.086,88.009,207,111,96,0.8102,870.74,49
43,-31740.063,-30662.736,86.066,207,107,100,0.8061,898.36,50
44,-27064.978,-30580.969,70.717,205,111,94,0.8021,914.1,51
45,-34836.599,-30675.539,96.778,196,108,88,0.7981,933.39,52
46,-31637.199,-30696.444,78.644,195,117,78,0.7941,951.3,53
47,-32429.464,-30733.317,79.593,198,120,78,0.7901,970.1,54
48,-35691.161,-30836.606,85.927,226,114,112,0.7862,1002.98,55
49,-30015.858,-30819.856,78.784,212,129,83,0.7822,1026.45,56
50,-32770.145,-30858.861,81.091,207,106,101,0.7783,1051.83,57
51,-29344.757,-30876.695,75.671,201,105,96,0.7744,1072.47,58
52,-26165.31,-30767.259,70.352,214,125,89,0.7705,1088.17,59
53,-29879.447,-30793.631,75.033,200,114,86,0.7667,1105.47,60
54,-32132.605,-30889.689,90.6,208,107,101,0.7629,1130.11,61
55,-32435.118,-30919.092,89.147,204,103,101,0.759,1148.57,62
56,-30552.419,-30961.965,78.403,202,113,89,0.7553,1173.78,63
57,-32473.641,-30941.614,87.42,211,121,90,0.7515,1202.81,64
58,-25121.466,-30872.282,78.834,197,112,85,0.7477,1221.39,65
59,-32182.112,-30809.725,87.444,204,105,99,0.744,1240.13,66
60,-30689.935,-30824.495,88.373,204,107,97,0.7403,1258.43,67
61,-27644.077,-30800.056,79.976,195,104,91,0.7366,1276.45,68
62,-28976.07,-30771.964,81.46,209,119,90,0.7329,1291.24,69
63,-28703.013,-30714.612,73.159,201,106,95,0.7292,1308.22,70
64,-35880.698,-30838.925,95.789,217,124,93,0.7256,1343.71,71
65,-37385.779,-31060.797,76.173,204,113,91,0.7219,1364.72,72
66,-31344.962,-31098.898,82.48,198,106,92,0.7183,1380.28,73
67,-33579.044,-31095.254,74.736,203,103,100,0.7147,1395.17,74
68,-31667.76,-31087.47,84.79,197,107,90,0.7112,1417.46,75
69,-29446.05,-31081.546,75.128,208,126,82,0.7076,1440.87,76
70,-25559.978,-30920.939,69.963,208,115,93,0.7041,1461.4,77
71,-27494.3,-30811.78,74.233,222,139,83,0.7005,1487.13,78
72,-29606.497,-30748.372,70.461,217,121,96,0.697,1507.61,79
73,-35070.137,-30789.616,98.749,196,97,99,0.6936,1533.14,80
74,-26978.865,-30753.215,79.338,218,112,106,0.6901,1556.68,81
75,-29619.432,-30667.664,76.109,203,108,95,0.6866,1578.08,82
76,-29948.997,-30667.657,69.867,214,118,96,0.6832,1600.33,83
77,-23246.628,-30465.616,61.968,216,136,80,0.6798,1620.93,84
78,-37521.983,-30637.168,95.084,218,117,101,0.6764,1647.56,85
79,-31110.788,-30645.797,67.86,212,119,93,0.673,1667.96,86
80,-28152.972,-30635.117,85.043,198,116,82,0.6696,1685.36,87
81,-32879.952,-30881.138,65.58,203,107,96,0.6663,1707.09,88
82,-28524.312,-30878.599,82.572,199,105,94,0.663,1732.29,89
83,-31382.189,-30886.406,80.868,205,105,100,0.6597,1753.72,90
84,-32980.634,-30943.674,86.73,197,124,73,0.6564,1771.73,91
85,-35371.707,-30951.327,90.484,203,108,95,0.6531,1791.35,92
86,-27939.861,-30914.016,72.634,220,129,91,0.6498,1822.83,93
87,-36181.765,-31061.017,88.53,190,97,93,0.6466,1843.26,94
88,-39963.255,-31147.971,87.083,202,103,99,0.6433,1862.16,95
89,-32493.795,-31170.748,85.53,216,134,82,0.6401,1885.04,96
90,-28013.076,-31135.519,77.889,218,127,91,0.6369,1915.59,97
91,-35419.295,-31198.65,71.269,209,124,85,0.6337,1938.89,98
92,-27707.052,-31099.144,73.839,243,131,112,0.6306,1970.27,99
93,-35589.1,-31176.125,74.228,196,107,89,0.6274,1986.18,100
94,-27258.561,-31179.996,74.32,209,126,83,0.6243,2009.44,101
95,-27508.026,-31033.425,77.576,205,114,91,0.6211,2030.83,102
96,-28112.647,-30962.934,73.051,204,110,94,0.618,2051.11,103
97,-31071.184,-30935.768,86.086,203,102,101,0.6149,2069.21,104
98,-36571.249,-30953.37,96.84,217,122,95,0.6119,2105.38,105
99,-22718.405,-30807.421,67.262,218,124,94,0.6088,2129.08,106
100,-27496.314,-30701.944,79.276,205,133,72,0.6058,2149.59,107
101,-29889.196,-30712.833,75.614,213,115,98,0.6027,2173.22,108
102,-34660.038,-30882.728,84.34,200,111,89,0.5997,2189.69,109
103,-27998.536,-30845.109,70.06,207,125,82,0.5967,2211.74,110
104,-28136.63,-30765.19,78.996,200,118,82,0.5937,2233.95,111
105,-28711.556,-30690.719,75.737,207,110,97,0.5908,2259.89,112
106,-23824.023,-30556.151,75.189,221,136,85,0.5878,2286.66,113
107,-28245.893,-30471.596,75.831,211,105,106,0.5849,2302.3,114
108,-37778.339,-30724.733,92.236,195,96,99,0.582,2321.18,115
109,-28045.402,-30641.999,82.902,202,116,86,0.579,2341.37,116
110,-26377.548,-30555.751,77.373,225,141,84,0.5762,2371.95,117
111,-38088.728,-30764.644,81.107,225,141,84,0.5733,2400.06,118
112,-36381.451,-30912.752,87.612,196,93,103,0.5704,2422.71,119
113,-35711.971,-31052.931,95.636,203,108,95,0.5676,2452.17,120
114,-35525.274,-31045.823,92.021,209,118,91,0.5647,2470.52,121
115,-33732.915,-30972.765,83.823,206,119,87,0.5619,2498.55,122
116,-29668.546,-30939.237,76.598,221,127,94,0.5591,2521.93,123
117,-28377.793,-30835.212,77.367,206,127,79,0.5563,2546.03,124
118,-37264.713,-30947.151,90.009,212,103,109,0.5535,2564.66,125
119,-35775.602,-31073.742,102.059,195,101,94,0.5507,2583.08,126
120,-27928.433,-31121.111,76.858,214,141,73,0.548,2599.17,127
121,-34799.606,-31267.217,80.54,211,131,80,0.5452,2619.82,128
122,-28439.985,-31243.887,80.246,208,124,84,0.5425,2645.1,129
123,-27601.507,-31094.515,63.488,218,149,69,0.5398,2664.48,130
124,-30195.579,-31158.849,79.994,201,104,97,0.5371,2691.83,131
125,-28751.083,-31141.482,71.752,203,107,96,0.5344,2716.3,132
126,-30451.652,-31151.535,72.104,201,103,98,0.5318,2740.04,133
127,-32055.535,-31327.713,78.492,213,105,108,0.5291,2760.72,134
128,-33792.936,-31253.132,90.973,194,92,102,0.5264,2785.15,135
129,-28441.815,-31199.753,75.086,207,117,90,0.5238,2812.85,136
130,-31258.466,-31261.863,84.412,207,118,89,0.5212,2835.71,137
131,-35357.64,-31311.416,98.144,216,125,91,0.5186,2867.02,138
132,-36437.316,-31469.676,88.943,205,127,78,0.516,2886.45,139
133,-27513.834,-31392.309,80.383,213,134,79,0.5134,2909.94,140
134,-28005.045,-31292.798,77.717,211,117,94,0.5108,2935.88,141
135,-32672.032,-31238.804,76.556,209,121,88,0.5083,2960.3,142
136,-30396.314,-31287.933,71.11,213,127,86,0.5058,2983.12,143
137,-31478.227,-31193.862,83.094,199,103,96,0.5032,3008.48,144
138,-32798.43,-31050.566,89.216,199,104,95,0.5007,3031.47,145
139,-25081.74,-30902.325,70.452,204,122,82,0.4982,3051.69,146
140,-27769.781,-30897.459,71.847,202,102,100,0.4957,3067.22,147
141,-28392.84,-30756.93,73.454,210,131,79,0.4932,3086.96,148
142,-34395.646,-30890.702,91.598,218,124,94,0.4908,3121.24,149
143,-26226.055,-30703.441,75.032,205,120,85,0.4883,3138.31,150
144,-28649.487,-30731.259,74.824,200,111,89,0.4859,3157.46,151
145,-32116.873,-30823.436,78.346,203,118,85,0.4834,3178.25,152
146,-30364.18,-30868.467,84.13,213,135,78,0.481,3210.75,153
147,-38584.915,-31018.741,81.602,200,118,82,0.4786,3235.08,154
148,-26478.561,-30816.888,79.188,201,117,84,0.4762,3264.79,155
149,-28460.335,-30931.726,75.301,216,119,97,0.4738,3291.48,156
150,-28251.539,-30946.831,83.563,228,135,93,0.4715,3332.23,157
151,-29672.514,-30942.497,89.147,208,124,84,0.4691,3359.43,158
152,-32097.166,-30891.24,93.786,190,100,90,0.4668,3382.64,159
153,-36627.76,-31063.824,93.408,194,111,83,0.4644,3401.53,160
154,-21414.163,-30929.375,67.864,215,153,62,0.4621,3416.85,161
155,-38398.251,-31123.109,107.433,166,86,80,0.4598,3446.08,162
156,-34180.853,-31330.245,91.82,207,113,94,0.4575,3468.61,163
157,-25042.72,-31266.182,76.409,186,109,77,0.4552,3484.95,164
158,-34534.181,-31201.299,81.207,188,105,83,0.4529,3503.6,165
159,-27626.159,-31192.914,78.797,206,124,82,0.4507,3532.0,166
160,-31144.605,-31288.255,81.257,207,110,97,0.4484,3555.93,167
