episode,reward,reward_avg_50,pending_avg,delivered_total,ontime,late,epsilon,max_delta_q,delta_avg_50,sec_elapsed,seed,Q1_used,Q3_used,Q1_entries,Q3_entries,ticks_total,wait_count,action_count,wait_ratio,avg_rider_load,batching_efficiency,activated_riders,snapshot_version,global_updates,global_steps
1,-21847.181,-21847.181,47.276,223,166,57,0.1338,72.164998,72.164998,275.07,8,625,5,6836,36,900,477,900,0.53,2.0092,0.9711,6,1,900,900
2,-36372.385,-29109.783,69.498,238,175,63,0.1325,70.389086,71.277042,276.59,9,522,2,6840,36,900,589,900,0.6544,2.046,0.9067,6,1,1800,1800
3,-31787.653,-30002.406,63.793,221,143,78,0.1313,73.601628,72.051904,277.07,10,555,4,6844,36,900,493,900,0.5478,2.0954,0.9611,6,1,2700,2700
4,-32619.343,-30656.641,60.711,240,164,76,0.13,111.35655,81.878065,367.84,11,642,3,6850,36,900,384,900,0.4267,1.9221,0.9544,6,1,3600,3600
5,-35168.558,-31559.024,68.212,196,137,59,0.1288,106.475046,86.797462,368.48,12,573,4,6851,36,900,606,900,0.6733,1.9524,0.9044,6,1,4500,4500
6,-33139.84,-31822.493,64.15,224,158,66,0.1276,81.937635,85.98749,368.95,13,553,5,6852,36,900,525,900,0.5833,2.0156,0.9189,6,1,5400,5400
7,-37127.726,-32580.384,68.307,231,170,61,0.1263,96.027301,87.421749,369.51,14,540,2,6852,36,900,569,900,0.6322,2.0511,0.9533,6,1,6300,6300
8,-26051.1,-31764.223,54.42,233,170,63,0.1251,84.494148,87.055799,369.91,15,539,2,6855,36,900,510,900,0.5667,2.0497,0.9322,6,1,7200,7200
9,-33949.674,-32007.051,68.214,226,153,73,0.1239,92.974887,87.713475,606.13,16,633,3,6856,36,900,454,900,0.5044,2.0989,0.9744,6,1,8100,8100
10,-37490.51,-32555.397,70.733,227,158,69,0.1226,132.318346,92.173962,606.71,17,584,6,6857,36,900,523,900,0.5811,2.013,0.9478,6,1,9000,9000
11,-32216.4,-32524.579,63.206,232,160,72,0.1214,83.613183,91.39571,607.14,18,431,3,6859,36,900,551,900,0.6122,2.0779,0.96,6,1,9900,9900
